Name,Current_Skills,Wanted_skills,Age,College,Attendance,Biography
George Herman Ruth,"['Taekwondo', 'Fingerprint collecting', 'Fruit picking']",['Billiards'],79,"CSUMB - California State University, Monterey Bay",,"I'm George Herman Ruth, and at 79, I find myself constantly seeking new ways to learn and grow. My journey has led me to develop a few skills along the way, including Taekwondo, which I enjoy sharing with others, and I've picked up some interesting techniques in fingerprint collecting. There's something satisfying about both the discipline of martial arts and the precision of forensics. I’ve even dabbled in fruit picking, a skill that connects me to the earth and reminds me of simpler times. However, I’m always on the lookout for something new to dive into—billiards, for instance, has piqued my interest. I’ve watched some games and am keen to grasp the nuances of the sport. My educational path took me to California State University, Monterey Bay, although I didn’t exactly follow a traditional route there. I believe that every interaction is an opportunity to learn, whether it’s passing on what I know or soaking up knowledge from others. Each experience adds to my journey, and I’m eager to see where the next lesson will take me."
Berry Berenson,"['Mini Golf', 'Railway journeys', 'Auto racing', 'Color guard', 'Stamp collecting']","['Powerboat racing', 'Hooping', 'Badminton', 'Motor sports', 'Swimming']",36,Santa Cruz County Office of Education,masters,"I’m Berry Berenson, a 36-year-old with a knack for a few unique hobbies and a thirst for knowledge. My journey has taken me through various interests, from the intricacies of mini golf to the thrill of auto racing. I enjoy the strategy involved in stamp collecting and the discipline of color guard, all while finding joy in the simple pleasure of railway journeys. After completing my master’s at the Santa Cruz County Office of Education, I realized that learning doesn’t stop in the classroom. I’m always on the lookout for new skills to pick up and people to learn from. I have a particular fascination with powerboat racing and sports like badminton and swimming, and I’m eager to connect with those who can share their expertise in these areas. I believe that every interaction holds an opportunity for growth, and I’m here to soak it all in while sharing what I know along the way."
Buddy Holly,"['Kitesurfing', 'Renovating']","['Softball', 'BASE jumping', 'Meditation', 'Pool']",63,Did not attend college,,"I’m Buddy Holly, and at 63, I’ve spent a good chunk of my life exploring various interests. While I didn’t take the traditional route through college, I found plenty of learning experiences in the world around me. Kitesurfing and renovating have become my go-to skills, and I enjoy sharing what I know with anyone eager to learn. Despite my accomplishments, I’m always looking to pick up new skills myself. I’ve recently developed a fascination with softball and BASE jumping, and I’d love to dive deeper into meditation and pool as well. It’s amazing how much knowledge there is out there, just waiting to be shared. I find that learning from others not only hones my skills but also opens my eyes to new perspectives. Whether it’s catching a wave or working on a home project, there’s always something new on the horizon."
Burt Lancaster,"['Powerboat racing', 'Cribbage', 'jurisprudential', 'Sports memorabilia']","['Deltiology\xa0(postcard collecting)', 'Australian rules football']",26,Santa Cruz County Office of Education,,"I'm Burt Lancaster, a 26-year-old with a passion for learning and an eagerness to improve my skills through the knowledge and experiences of others. My journey has led me to develop a knack for powerboat racing and cribbage, and I've dabbled in the fascinating world of sports memorabilia. I find joy in sharing what I know, whether it's teaching a friend the nuances of card strategy or discussing the thrill of racing. But I’m not one to rest on my laurels; there’s so much more I want to grasp. For instance, I’ve become intrigued by deltiology, the art of postcard collecting, and I’d love to dive deeper into the intricacies of Australian rules football. I studied at the Santa Cruz County Office of Education, which has shaped my understanding of various subjects, yet I believe learning is a lifelong journey. Engaging with others who share their insights is an essential part of that journey, and I’m always looking for ways to expand my horizons through collaboration and shared experiences."
Allan Huber Selig,"['Ephemera collecting', 'Knife collecting', 'publishing', 'Herping']","['Myrmecology', 'Taekwondo', 'Squash', 'Canoeing']",33,Santa Cruz County Regional Occupation Program,masters,"I'm Allan Huber Selig, 33 years old, and I’ve spent a good chunk of my life diving into various interests, primarily centered around collecting and publishing. My passion for ephemera and knife collecting has not only filled my shelves but also enriched my understanding of history and craftsmanship. I’ve honed my skills in publishing, helping others share their stories effectively. I graduated from the Santa Cruz County Regional Occupation Program, where I pursued a master's degree, which fueled my desire for continuous learning. I’m always on the lookout for new skills to acquire, hoping to find someone who can teach me myrmecology or maybe even Taekwondo. As much as I enjoy sharing what I know, I find that every conversation or shared experience brings something new to my own journey. Whether it’s hitting the squash court or gliding on a canoe, I’m eager to learn from those around me, absorbing insights that can enhance my understanding and abilities."
Billy Crystal,['Meditation'],"['Speedcubing', 'Radio-controlled model playing', 'Action figure']",65,Santa Cruz County Regional Occupation Program,undergraduate,"I'm Billy Crystal, a 65-year-old guy who finds joy in the simple things, particularly meditation, which I've been practicing for years. It's fascinating how a bit of stillness can shift your perspective. I’ve spent quite a bit of time at the Santa Cruz County Regional Occupation Program, soaking up knowledge and experiences that have shaped my journey. I’m always on the lookout for new skills to pick up, especially things like speedcubing and radio-controlled model playing. There's something about the precision and creativity in those hobbies that intrigues me. I often think about action figures too—there's a playful artistry in collecting and displaying them that I admire. I’m eager to learn from anyone willing to share their expertise; there's so much to gain from others. Life's a continuous learning experience, and I believe that every encounter has the potential to teach us something new."
Bruce Campbell,"['Knife collecting', 'Speedcubing']","['Qigong', 'Astronomy']",19,Santa Cruz County Office of Education,phd,"I’m Bruce Campbell, a 19-year-old currently diving into my studies at the Santa Cruz County Office of Education, where I’m pursuing my PhD. My interests are as diverse as my ambitions—I’ve developed a knack for speedcubing and have a growing collection of knives that I’m quite proud of. While I enjoy sharing what I know about these hobbies with others, I’m also on the lookout for new skills to acquire. I’ve always been fascinated by Qigong and the mysteries of astronomy; it would be great to find someone willing to share their knowledge in those areas. I believe there's so much to learn from the experiences of others, and I’m eager to soak up as much as I can. Balancing studies with these passions keeps me motivated, and I’m always ready to explore something new."
Barry Goldwater,"['Flower collecting and pressing', 'Cheerleading', 'Lacrosse', 'publishing', 'Mycology']",['Automobilism'],25,Cabrillo College,,"I'm Barry Goldwater, a 25-year-old with a diverse set of interests and a strong desire to learn from others. Currently, I enjoy flower collecting and pressing, which has taught me patience and an appreciation for detail. Cheerleading and lacrosse have kept me active and engaged, allowing me to develop teamwork skills and a competitive spirit. I’ve also dabbled in publishing, which has given me insight into the creative process, and mycology fascinates me with the complexity of fungi. I’m always on the lookout for opportunities to expand my knowledge, especially when it comes to automobilism; I’d love to find someone who can share their expertise in that area. My journey has led me to Cabrillo College, where I aim to gather more skills and insights. I believe that learning from others is the best way to grow, and I’m excited about the possibilities ahead."
Bill Bixby,['Swimming'],"['Photography', 'Tai chi', 'Knife collecting']",26,Santa Cruz County Office of Education,masters,"I’m Bill Bixby, a 26-year-old who has always found joy in the water; swimming has been my thing for as long as I can remember, and I enjoy sharing that passion with others. I recently wrapped up my master’s at the Santa Cruz County Office of Education, where I learned not just about academics but also the importance of collaboration and learning from my peers. While I’m comfortable teaching swimming techniques to beginners or anyone looking to improve, I’ve got my sights set on expanding my own skillset. Photography fascinates me, and I often find myself admiring the work of others, wishing I could capture moments like they do. I’m also intrigued by tai chi; the fluid movements seem like a perfect blend of discipline and relaxation. And then there’s knife collecting, which has piqued my interest lately—I find the history and craftsmanship behind it captivating. I'm always on the lookout for opportunities to learn from those who have experience in these areas, believing that every person has something valuable to teach."
Bela Lugosi,"['Action figure', 'Scouting', 'Picnicking', 'Race walking']","['Whale watching', 'Coin collecting']",55,Cabrillo College,undergraduate,"I’m Bela Lugosi, and at 55, I find myself constantly seeking new experiences and knowledge. I’ve always had a knack for action figure collecting, and I enjoy sharing that passion with others, whether it’s through scouting for rare pieces or organizing picnics that celebrate our shared interests. Race walking has become a favorite pastime of mine, as it offers both a physical challenge and a chance to connect with nature. I studied at Cabrillo College, where I honed my ability to learn from both peers and instructors. I have a genuine curiosity about the world around me, and I’m eager to dive into new adventures. Recently, I’ve developed an interest in whale watching and coin collecting—two things I know little about but would love to learn. I believe that the best way to grow is to engage with those who have different experiences, and I’m always looking for opportunities to learn from others. While I enjoy sharing what I know, I’m just as enthusiastic about absorbing knowledge from those around me."
Bill Bryson,"['Scuba diving', 'Color guard', 'Leaves', 'Road biking']",['Shogi'],59,UCSC - University of California at Santa Cruz,undergraduate,"I'm Bill Bryson, 59 years old, and I’ve spent a good part of my life diving into various interests and hobbies. I graduated from the University of California at Santa Cruz, where I developed a love for the outdoors and physical activities. Scuba diving has become a passion of mine, and I enjoy sharing that with others, along with my experiences in color guard and road biking. I find there's always something new to learn, and I’m eager to soak up knowledge from those around me. Lately, I’ve had my sights set on shogi; the strategy involved fascinates me, and I’d love to connect with someone who can guide me. Whether it’s discussing the intricacies of a leaf’s structure or the nuances of a good bike route, I’m open to exchanging ideas and skills. It’s about growth and learning from one another, and I’ve always believed that the best insights come from collaboration."
Charlize Theron,"['Sun bathing', 'Leaves', 'Curling']",['Pool'],91,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m Charlize Theron, 91 years young and always on the lookout for new opportunities to grow and refine my skills. Having spent a good part of my life enjoying the sun, I've mastered the art of sunbathing, and there's a certain joy in sharing that experience with others. My fascination with nature has led me to explore the beauty of leaves, whether it's identifying their varieties or understanding their roles in the ecosystem. Curling has been another quirky passion of mine; there's something strategic and relaxing about it that keeps me coming back for more. I graduated from California State University, Monterey Bay, where I immersed myself in learning—an experience that shaped my desire to continuously evolve. Lately, I've been eager to tackle a new challenge: pool. I’ve seen the grace and precision involved, and it’s a skill I’d love to pick up from someone who's got it down. I believe that learning from others not only enhances my own abilities but also fosters connections that enrich life’s journey."
Courtney Love,"['Dowsing', 'Magnet fishing', 'Notaphily\xa0(banknote collecting)', 'Element collecting']","['Architecture', 'Medical science', 'Rock climbing', 'Badminton', 'Speed skating']",61,Santa Cruz County Regional Occupation Program,masters,"I'm Courtney Love, and at 61, I find myself constantly drawn to new experiences and the opportunity to learn from others. My journey has taken me through a variety of interests, from dowsing and magnet fishing to the more obscure world of notaphily and element collecting. While I enjoy sharing these skills with anyone eager to learn, I’m also on the lookout for new challenges. I’ve always been fascinated by architecture and medical science, and I think rock climbing and speed skating would be thrilling ways to push my boundaries. I attended the Santa Cruz County Regional Occupation Program, where I pursued a master’s degree that has shaped my perspective on continuous learning. There’s something invigorating about the exchange of knowledge, and I relish the idea of connecting with those who can share their expertise in the areas I’m eager to explore. Every interaction is a chance to grow, and I'm here for it."
Cecil B. DeMille,"['Vintage cars', 'Bus spotting']","['Airsoft', 'Mini Golf', 'Architecture', 'Whale watching']",82,Santa Cruz County Office of Education,phd,"I’m Cecil B. DeMille, an 82-year-old with a passion for vintage cars and an unusual hobby of bus spotting. Over the years, I’ve accumulated a bit of knowledge that I’m happy to share with anyone interested. My journey started at the Santa Cruz County Office of Education, where I pursued a PhD that opened my eyes to various fields of study. Even at my age, I believe in the importance of continuous learning, and I'm always on the lookout for opportunities to expand my horizons. There are a few areas where I'm keen to improve—like airsoft, mini golf, and architecture. Oh, and whale watching has always fascinated me; I’d love to learn more about that as well. I find that engaging with others not only helps me grow but also keeps things interesting. Life is too short to stop exploring new interests, and each conversation has the potential to teach me something new."
Carl Sagan,"['Comic book collecting', 'Trapshooting', 'publishing']","['Speedcubing', 'Flower collecting and pressing']",28,Cabrillo College,masters,"I'm Carl Sagan, a 28-year-old graduate student at Cabrillo College, where I'm diving deep into my master's studies. My interests have led me down some unique paths, from collecting comic books to honing my trapshooting skills. I find that there's always something new to discover, and I enjoy sharing my knowledge with others—whether it's advice on building a comic collection or tips for publishing. I believe that learning is a two-way street, and I'm constantly on the lookout for opportunities to grow my own skill set. Lately, I've been fascinated by the world of speedcubing and flower collecting. I’d love to connect with someone who can teach me the ins and outs of pressing flowers, as it seems like a beautiful way to preserve memories and nature. Each interaction is a chance to learn, and I’m always eager to expand my horizons through collaboration and shared experiences."
Cecilia Beaux,"['Biology', 'Car tuning']","['Footbag', 'Softball', 'publishing']",20,Did not attend college,,"I'm Cecilia Beaux, a 20-year-old with a passion for learning and sharing knowledge. Life has taken me on a unique path, steering clear of the traditional college route, but that hasn’t stopped me from diving deep into various interests. I've developed solid skills in biology and car tuning, and I enjoy helping others grasp these subjects. There's something fulfilling about breaking down complex concepts and watching someone else light up with understanding. On the flip side, I'm always on the lookout for opportunities to expand my own horizons. Footbag and softball have piqued my interest lately, and I wouldn't mind finding someone who can show me the ropes. I've also been thinking about the world of publishing and how it works; getting insights from someone experienced would be invaluable. I believe that learning from others is one of the most effective ways to grow, and I’m all about making those connections."
Charles Evans Hughes,['Trapshooting'],"['Motor sports', 'Race walking', 'Railway modelling', 'Boxing']",18,Santa Cruz County Office of Education,masters,"I'm Charles Evans Hughes, an 18-year-old with a passion for learning and a knack for trapshooting, which I’ve been honing over the past few years. Currently, I'm diving into my master's program at the Santa Cruz County Office of Education, where I’m eager to absorb every bit of knowledge I can. I find that the best way to grow is by connecting with others who have different skills and experiences. While I’m glad to share what I know about trapshooting, I’m also on the lookout for someone to introduce me to the world of motor sports—there’s something about the thrill of speed that fascinates me. I’m equally interested in race walking, railway modelling, and boxing, but I haven't yet found the right mentors in those areas. I believe that learning is a two-way street, and I’m always ready to exchange ideas and skills. Balancing my studies with my interests keeps me motivated, and I look forward to expanding my horizons with every new experience that comes my way."
Charles Mingus,['Road biking'],"['Knife collecting', 'Iceboat racing', 'Lomography', 'Iceboat racing']",62,Santa Cruz County Regional Occupation Program,phd,"I'm Charles Mingus, a 62-year-old who finds joy in the simplicity of road biking, a skill I’ve honed over the years and am more than happy to share with anyone interested. My educational journey took me through the Santa Cruz County Regional Occupational Program, where I developed a strong foundation in various areas. Now, I’m always on the lookout for ways to expand my horizons and learn from others. I have a particular curiosity about knife collecting and iceboat racing—two pursuits that seem to blend history and adrenaline in fascinating ways. Lomography also intrigues me; the idea of capturing the world through a unique lens is something I'd love to explore more deeply. I believe that every interaction holds the potential for growth, and I'm eager to connect with those who share their expertise, whether it's through a casual conversation or hands-on experiences. Balancing my love for biking with a desire to dive into new interests keeps life dynamic, and I look forward to what I'll learn next."
Drew Barrymore,"['Compact discs', 'Camping', 'Pickleball']","['Horseback riding', 'Air hockey', 'Chess', 'Sports science', 'Skateboarding']",45,Cabrillo College,undergraduate,"I’m Drew Barrymore, 45, and I’ve always believed that there’s no end to what we can learn from one another. I picked up a few skills along the way—like how to navigate the ins and outs of camping trips or the nuances of playing pickleball. I’ve also got a knack for compact discs, which I find oddly satisfying. However, I’m not one to rest on my laurels; I’m constantly seeking new challenges. There are a few things I wish someone would share their expertise on, such as horseback riding and chess, which intrigues me with its strategic depth. I’ve even toyed with the idea of skateboarding, though I might need a patient teacher for that one. My time at Cabrillo College was formative, sparking my passion for learning and connecting with others. I think the best part of skill-building is the chance to share what I know while soaking up knowledge from those around me."
David Wark Griffith,"['Ephemera collecting', 'Sculling\xa0or\xa0rowing', 'Figure Skating', 'jurisprudential', 'Kart racing']","['Trapshooting', 'Rock climbing', 'Sculling\xa0or\xa0rowing', 'History', 'Handball']",36,Did not attend college,,"I’m David Wark Griffith, a 36-year-old with a mix of interests that keeps life interesting. While I’ve dabbled in ephemera collecting and have a knack for sculling and rowing, I also enjoy the thrill of kart racing and the grace of figure skating. It’s a bit of a mixed bag, but I find that each skill offers its own unique perspective. I didn’t go the traditional college route, but I’ve always believed in learning from those around me. I’m eager to improve and expand my repertoire—whether that's mastering trapshooting or tackling rock climbing. I’m particularly keen on diving deeper into history and honing my handball skills, so I’m always on the lookout for someone who can share their knowledge and experiences. I believe that every interaction holds the potential for learning, and I’m ready to embrace whatever comes my way next."
